speaks/VBZ	(speaks,1) (root,1) (VBZ,1) 
ridiculous/JJ	(NN,1) (JJ,1) (ridiculous,1) (root,1) (VBD,1) (nsubj,1) (amod,1) (killed,1) (nonsense,1) 
draining/VBG	(acl:relcl,1) (NNS,1) (ccomp,1) (VBP,1) (root,1) (draining,1) (ones,1) (dry,1) (VBG,1) (VB,1) (nsubj,1) (ride,1) 
remember/VB	(remember,1) (ccomp,1) (root,1) (Do,1) (VB,2) 
divine/NN	(NN,1) (torn,1) (VBN,1) (nmod:by,1) (root,1) (divine,1) 
need/VB	(need,1) (root,1) (VB,1) 
unable/JJ	(NN,1) (JJ,1) (unable,1) (wait,1) (VBN,1) (VBP,1) (root,1) (nmod:to,1) (advcl,1) (ground,1) (amod,1) (Frozen,1) 
enhance/VB	(ccomp,1) (seemed,1) (root,1) (VBD,1) (VB,1) (enhance,1) 
orbit/NN	(NN,1) (VBN,1) (nmod:into,1) (root,1) (orbit,1) (shocked,1) 
light/JJ	(NN,2) (JJ,2) (nmod:than,1) (light,1) (planet,1) (root,1) (capable,1) (amod,2) (travel,1) 
basically/RB	(NN,1) (acl:relcl,1) (1940s,1) (refused,1) (VB,1) (xcomp,1) (RB,1) (advmod,1) (kook,1) (NNS,1) (leave,1) (nmod:since,1) (root,1) (basically,1) (VBD,1) 
with/IN	(NN,1) (JJ,1) (with,1) (problem,1) (IN,1) (old,1) (root,1) (acl,1) (mark,1) 
next/JJ	(NN,1) (next,1) (JJ,1) (nmod:in,1) (VBP,1) (relax,1) (root,1) (amod,1) (instant,1) 
I/PRP	(VBP,1) (root,1) (I,1) (say,1) (nsubj,1) (PRP,1) 
thought/NN	(NN,1) (thought,1) (VBP,1) (root,1) (VBG,1) (drowning,1) (dobj,1) (send,1) (dep,1) 
change/VB	(change,1) (root,1) (VB,1) 
sad/JJ	(NN,1) (JJ,1) (root,1) (sad,1) (amod,1) (story,1) 
immortality/RB	(RB,1) (immortality,1) (advmod,1) (root,1) (VB,1) (make,1) 
zero/VBP	(zero,1) (VBP,1) (root,1) 
-----------------------------------------------------------------------------------------------------------------------------/CD	(##########,1) (NN,1) (CD,1) (VBP,1) (nmod:npmod,1) (nummod,1) (WRB,1) (-----------------------------------------------------------------------------------------------------------------------------,1) (*,1) (am,1) (RB,1) (advmod,2) (root,1) (Where,1) 
save/VB	('',1) (asked,1) (root,1) (save,1) (VBD,1) (VBG,1) (VB,1) (xcomp,2) 
flashes/NNS	(NNS,1) (VBP,1) (get,1) (root,1) (dobj,1) (flashes,1) 
caught/VBN	(JJ,1) (caught,1) (VBN,1) (root,1) (enough,1) (xcomp,1) 
find/VB	(JJ,1) (ccomp,1) (VBP,1) (find,1) (root,1) (say,1) (VB,1) (easy,1) (xcomp,1) 
most/JJS	(NN,1) (JJ,1) (most,1) (JJS,1) (sapping,1) (planet,1) (root,1) (capable,1) (VBG,1) (advcl,1) (amod,1) (dobj,1) 
health/NN	(NN,1) (root,1) (health,1) (xcomp,1) (becomes,1) (VBZ,1) 
Well/UH	(UH,1) (VBP,1) (root,1) (Well,1) (do,1) (discourse,1) 
throat/NN	(NN,1) (clotting,1) (VBP,1) (throat,1) (root,1) (say,1) (VBG,1) (dobj,1) (dep,1) 
make/VB	(root,1) (VB,1) (make,1) 
women/NNS	(NNS,1) (accented,1) (dying,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (conj:and,1) (dobj,1) (groans,1) (VBZ,1) (women,1) 
green/JJ	(NN,1) (JJ,1) (green,1) (root,1) (paradise,1) (acl,1) (xcomp,1) (becomes,1) (VBZ,1) 
android/JJ	(JJ,1) (NNS,1) (servants,1) (expected,1) (root,1) (android,1) (VBD,1) (dobj,1) (amod,1) 
shared/VBD	(shared,1) (root,1) (VBD,2) (conj:and,1) (killed,1) 
