zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
listening/VBG	(listening,1) (root,1) (VBG,1) 
one/CD	(CD,1) (VBP,1) (root,1) (one,1) (ask,1) (dobj,1) 
Dumbledore/NNP	(NNP,1) (root,1) (Dumbledore,1) (VBD,1) (said,1) (nsubj,1) 
dark/NN	(NN,1) (move,1) (nmod:towards,1) (VBP,1) (root,1) (dark,1) 
really/RB	(RB,1) (think,1) (advmod,1) (root,1) (VB,1) (really,1) 
ran/VBD	(root,1) (VBD,1) (ran,1) 
Daphne/NNP	(NNP,1) (VBN,1) (nsubjpass,1) (root,1) (Daphne,1) (dressed,1) 
maybe/RB	(NN,1) (RB,1) (advmod,1) (maybe,1) (Get,1) (root,1) (VB,1) (dobj,1) (something,1) 
asked/VBD	(asked,1) (root,1) (VBD,1) 
Yours/RB	(RB,1) (advmod,1) (root,1) (Yours,1) (we,1) (PRP,1) 
air/NN	(JJ,1) (NN,1) (root,1) (air,1) (hot,1) (nsubj,1) 
scarlet/JJ	(NN,1) (JJ,1) (figure,1) (scarlet,1) (VBN,1) (root,1) (nsubj,1) (amod,1) (zoomed,1) 
head/NN	(head,1) (NN,1) (forcing,1) (nmod:of,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
away/RB	(NN,1) (RB,1) (advmod,1) (away,1) (root,1) (holiday,1) 
window/NN	(NN,1) (standing,1) (nmod:by,1) (root,1) (VBD,1) (VBG,1) (window,1) (said,1) (xcomp,1) 
tense/JJ	(NN,1) (JJ,1) (root,1) (VBD,1) (let,1) (dobj,1) (amod,1) (tense,1) (laugh,1) 
slit/VBP	(slit,1) (VBP,1) (root,1) (VBD,1) (conj:and,1) (smirked,1) 
path/NN	(NN,1) (path,1) (root,1) (VBD,1) (back,1) (advcl,1) (VB,1) (nmod:on,1) (ran,1) 
been/VBN	(listening,1) (been,1) (VBN,1) (aux,1) (root,1) (VBG,1) 
wrong/JJ	(JJ,2) (ccomp,1) (thought,1) (root,1) (VBD,1) (parataxis,1) (worried,1) (wrong,1) 
did/VBD	(root,1) (VBD,2) (let,1) (did,1) (dep,1) 
so/IN	(VBN,1) (IN,1) (root,1) (so,1) (zoomed,1) (dep,1) 
him/PRP	(root,1) (VBD,1) (nmod:to,1) (him,1) (ran,1) (PRP,1) 
has/VBZ	(happier,1) (JJR,1) (aux,1) (root,1) (gave,1) (VBD,1) (conj:and,1) (has,1) (VBZ,1) 
snort/NN	(NN,1) (root,1) (VBD,1) (let,1) (dobj,1) (snort,1) 
everything/NN	(NN,1) (think,1) (nmod:after,1) (root,1) (VB,1) (everything,1) 
broke/VBD	(broke,1) (root,1) (VBD,2) (advcl,1) (put,1) 
left/VBD	(took,1) (left,1) (root,1) (VBD,2) (conj:and,1) 
greet/VB	(love,1) (move,1) (ccomp,1) (VBP,2) (pass,1) (root,1) (greet,1) (parataxis,1) (conj:and,1) (VB,2) 
but/CC	(but,1) (CC,1) (cc,1) (root,1) (VBD,1) (blushed,1) 
his/PRP$	(nodded,1) (NN,1) (his,1) (PRP$,1) (nmod:poss,1) (root,1) (VBD,1) (dobj,1) (way,1) 
standing/VBG	(standing,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
smile/NN	(NN,1) (forcing,1) (root,1) (VBD,1) (VBG,1) (said,1) (dobj,1) (xcomp,1) (smile,1) 
picked/VBN	(listening,1) (VBN,1) (picked,1) (root,1) (VBG,1) (advcl,1) 
fun/JJ	(JJ,1) (root,1) (fun,1) 
must/MD	(aux,1) (root,1) (MD,1) (must,1) (VB,1) (put,1) 
tiny/JJ	(NN,1) (acl:relcl,1) (JJ,1) (think,1) (VBN,1) (nmod:with,1) (pins,1) (VB,1) (amod,1) (done,1) (NNS,1) (nmod:after,1) (tiny,1) (root,1) (everything,1) 
party/NN	(NN,2) (nmod:about,1) (Get,1) (root,1) (VB,1) (dobj,1) (something,1) (party,1) 
're/VBP	(NN,1) (VBP,1) (cop,1) (root,1) ('re,1) (list,1) 
Draco/NNP	(NNP,1) (nmod:into,1) (root,1) (VBD,1) (Draco,1) (ran,1) 
protection/NN	(NN,1) (root,1) (protection,1) (VB,1) (nsubj,1) (put,1) 
excitedly/RB	(RB,1) (advmod,1) (excitedly,1) (root,1) (VBD,1) (said,1) 
pots/NNS	(JJ,1) (NNS,1) (root,1) (simmering,1) (VBG,1) (advcl,1) (pots,1) (hot,1) (nsubj,1) 
do/VBP	(think,1) (VBP,1) (aux,1) (root,1) (do,1) (VB,1) 
found/VBN	(found,1) (VBN,1) (root,1) 
worried/JJ	(JJ,1) (root,1) (worried,1) 
picked/VBD	(picked,1) (root,1) (VBD,2) (conj:and,1) (put,1) 
we/PRP	(root,1) (we,1) (PRP,1) 
moving/VBG	(stopped,1) (ccomp,1) (root,1) (VBD,1) (VBG,1) (moving,1) 
giggle/NN	(acl:relcl,1) (giggle,1) (NN,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (Maxime,1) (nmod:to,2) 
people/NNS	(JJ,1) (NNS,1) (root,1) (have,1) (VB,1) (dobj,1) (people,1) (fun,1) (xcomp,1) 
are/VBP	(are,1) (VBP,1) (aux,1) (root,1) (ripping,1) (VBG,1) 
good/JJ	(JJ,1) (found,1) (VBN,1) (root,1) (good,1) (xcomp,1) 
You/PRP	(advmod,1) (root,1) (go,1) (VB,1) (You,1) (PRP,1) 
watched/VBD	(watched,1) (root,1) (VBD,1) 
Aunt/NNP	(NNP,2) (VBN,1) (Petunia,1) (Aunt,1) (root,1) (rung,1) (nsubj,1) (compound,1) 
straight/RB	(straight,1) (RB,1) (advmod,1) (root,1) (VBD,1) (ran,1) 
into/IN	(Ron,1) (NNP,1) (into,1) (nmod:into,1) (IN,1) (root,1) (VBD,1) (ran,1) (case,1) 
got/VBD	(JJ,1) (sure,1) (root,1) (VBD,1) (advcl,1) (got,1) 
open/JJ	(JJ,1) (slit,1) (VBP,1) (root,1) (VBD,1) (conj:and,1) (smirked,1) (open,1) (xcomp,1) 
Very/NNP	(NN,1) (NNP,1) (root,1) (gave,1) (VBD,1) (back,1) (dobj,1) (Very,1) (dep,1) 
going/VBG	(VBN,1) (ccomp,1) (going,1) (root,1) (beamed,1) (VBG,1) 
Krecher/NNP	(NNP,1) (nmod:including,1) (scooped,1) (root,1) (VBD,1) (Krecher,1) 
camping/NN	(NN,1) (reminded,1) (camping,1) (went,1) (root,1) (VBD,2) (advcl,1) (dobj,1) 
ostentatious/NNS	(NNS,1) (VBN,1) (ccomp,2) (root,1) (snapped,1) (raised,1) (VBD,1) (ostentatious,1) 
younger/JJR	(JJ,1) (JJR,1) (younger,1) (root,1) (advcl,1) (fun,1) 
back/VB	(root,1) (VBD,1) (back,1) (advcl,1) (VB,1) (ran,1) 
muggle/JJ	(NN,1) (muggle,1) (JJ,1) (reminded,1) (camping,1) (went,1) (root,1) (VBD,2) (advcl,1) (dobj,1) (amod,1) 
get/VBP	(ccomp,1) (VBP,2) (root,1) (get,1) (VBD,1) (parataxis,1) (suggest,1) (said,1) 
forbidden/JJ	(NN,1) (JJ,1) (root,1) (forbidden,1) (floor,1) (amod,1) 
car/NN	(JJ,1) (NN,1) (nmod:in,1) (car,1) (pulled,1) (root,1) (VBD,1) (advcl,1) (long,1) 
forest/NN	(NN,1) (forest,1) (threw,1) (root,1) (VBD,1) (advcl,1) (VB,1) (dobj,1) (ran,1) 
reminded/VBD	(reminded,1) (root,1) (VBD,1) 
lot/NN	(JJ,1) (lot,1) (NN,1) (JJR,1) (younger,1) (root,1) (advcl,1) (fun,1) (dep,1) 
Sirius/NNS	(NNS,1) (Sirius,1) (root,1) (VBD,1) (said,1) (nsubj,1) 
over/RP	(over,1) (compound:prt,1) (root,1) (swept,1) (VBD,1) (RP,1) 
tomorrow/NN	(NN,1) (nmod:tmod,1) (root,1) (start,1) (tomorrow,1) (VBD,1) (parataxis,1) (said,1) (VB,1) 
life/NN	(NN,1) (happier,1) (JJR,1) (root,1) (gave,1) (VBD,1) (advcl,1) (conj:and,1) (life,1) 
Sirius/NNP	(NN,2) (NNP,1) (fan,1) (nmod:poss,1) (Mother,1) (Sirius,1) (root,1) (nsubj,1) 
far/RB	(nodded,1) (NN,1) (RB,1) (advmod,1) (far,1) (root,1) (VBD,1) (dobj,1) (way,1) 
young/JJ	(acl:relcl,1) (NN,1) (JJ,1) (young,1) (Maxime,1) (girl,1) (amod,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (nmod:to,1) (nmod:like,1) 
laugh/NN	(NN,1) (root,1) (VBD,1) (let,1) (dobj,1) (laugh,1) 
robes/NNS	(NNS,1) (looked,1) (root,1) (VBD,1) (robes,1) (dobj,1) 
in/IN	(NN,2) (nmod:in,1) (in,1) (IN,1) (root,1) (evening,1) (room,1) (case,1) 
just/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (just,1) (ran,1) 
more/JJR	(NN,1) (JJR,1) (more,1) (root,1) (protection,1) (VB,1) (nsubj,1) (amod,1) (put,1) 
red/NN	(red,1) (NN,1) (wanted,1) (root,1) (VBD,2) (advcl,1) (headed,1) (nsubj,1) 
Use/NNP	(NNP,1) (Use,1) (root,1) (nsubj,1) (we,1) (PRP,1) 
thought/VBD	(JJ,1) (thought,1) (root,1) (VBD,1) (parataxis,1) (worried,1) 
James/NNP	(JJ,1) (NNP,1) (sure,1) (James,1) (root,1) (VBD,1) (advcl,1) (nsubj,1) (got,1) 
unable/JJ	(NN,1) (JJ,1) (shield,1) (stopped,1) (amod,1) (banging,1) (dep,1) (nmod:against,1) (unable,1) (ccomp,1) (root,1) (VBD,1) (VBG,2) (moving,1) 
behind/RP	(behind,1) (compound:prt,1) (called,1) (root,1) (VBD,1) (RP,1) 
As/IN	(move,1) (As,1) (passes,1) (VBP,1) (IN,1) (root,1) (advcl,1) (mark,1) (VBZ,1) 
with/IN	(NNP,1) (with,1) (nmod:into,1) (IN,1) (root,1) (VBD,1) (Draco,1) (ran,1) (case,1) 
dresses/NNS	(NNS,1) (VBN,1) (nmod:in,1) (root,1) (dresses,1) (dressed,1) 
next/JJ	(next,1) (JJ,1) (advmod,1) (ccomp,1) (asked,1) (root,1) (VBD,1) (VBG,1) (sitting,1) 
similar/JJ	(JJ,1) (similar,1) (NNS,1) (VBN,1) (nmod:in,1) (root,1) (dresses,1) (dressed,1) (amod,1) 
I/PRP	(root,1) (VBD,1) (I,1) (nsubj,1) (ran,1) (PRP,1) 
happier/JJR	(happier,1) (JJR,1) (root,1) (gave,1) (VBD,1) (conj:and,1) 
centre/NN	(JJ,1) (NN,1) (root,1) (centre,1) (fun,1) (xcomp,1) 
trust/VBP	(trust,1) (VBP,1) (root,1) 
Percy/NNP	(NN,1) (NNP,1) (Percy,1) (root,1) (VBD,1) (let,1) (dobj,1) (laugh,1) (dep,1) 
Mum/NNP	(took,1) (NNP,1) (Mum,1) (root,1) (VBD,1) (nsubj,1) 
took/VBD	(took,1) (root,1) (VBD,1) 
o'clock/RB	(NN,1) (o'clock,1) (RB,1) (advmod,1) (root,1) (evening,1) 
Most/JJS	(NN,1) (JJS,1) (root,1) (Most,1) (nsubj,1) (holiday,1) 
anything/NN	(NN,1) (VBN,1) (root,1) (dobj,1) (heard,1) (anything,1) 
holidays/NNS	(NN,1) (NNS,1) (holidays,1) (root,1) (get,1) (go,1) (conj:and,1) (VB,2) (dobj,1) (nmod:for,1) (home,1) 
Hopkirk/NNP	(NNP,2) (Use,1) (root,1) (Hopkirk,1) (nsubj,1) (compound,1) (we,1) (PRP,1) 
feet/NNS	(feet,1) (NNS,1) (asked,1) (root,1) (VBD,2) (nmod:to,1) (helped,1) (advcl,1) 
Well/UH	(RB,1) (UH,1) (root,1) (Well,1) (clearly,1) (discourse,1) 
himself/PRP	(JJ,1) (himself,1) (root,1) (VBD,1) (pinched,1) (hard,1) (nsubj,1) (xcomp,1) (PRP,1) 
Granger/NNP	(Granger,1) (NNP,1) (found,1) (VBN,1) (root,1) (xcomp,1) 
holiday/NN	(NN,1) (root,1) (holiday,1) 
passes/VBZ	(move,1) (passes,1) (VBP,1) (root,1) (advcl,1) (VBZ,1) 
nodded/VBD	(nodded,1) (root,1) (VBD,1) 
told/VBN	(VBN,1) (ccomp,1) (VBP,1) (told,1) (root,1) (shouldn,1) 
ask/VBP	(VBP,1) (root,1) (ask,1) 
finally/RB	(RB,1) (advmod,1) (making,1) (root,1) (finally,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
