zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
small/JJ	(NN,1) (small,1) (JJ,1) (nod,1) (root,1) (gave,1) (VBD,1) (dobj,1) (amod,1) 
up/RP	(compound:prt,1) (root,1) (VBD,1) (up,1) (ran,1) (RP,1) 
hurt/VBN	(VBN,1) (asked,1) (root,1) (VBD,2) (squished,1) (dep,2) (hurt,1) 
painting/NN	(NN,3) (fan,1) (Mother,1) (painting,1) (root,1) (nsubj,1) (appos,1) 
several/JJ	(JJ,2) (NNS,1) (root,1) (several,1) (simmering,1) (VBG,1) (advcl,1) (pots,1) (hot,1) (nsubj,1) (amod,1) 
ah/RB	(RB,1) (advmod,1) (AND,1) (root,1) (ah,1) (dobj,1) (you,1) (VBZ,1) (PRP,1) 
friends/NNS	(nodded,1) (NNS,1) (imagine,1) (ccomp,1) (root,1) (VBD,1) (VB,1) (dobj,1) (friends,1) 
will/MD	(NN,1) (will,1) (aux,1) (root,1) (MD,1) (evening,1) 
onto/IN	(NN,1) (VBN,1) (nmod:onto,1) (IN,1) (root,1) (pitch,1) (zoomed,1) (onto,1) (case,1) 
week/NN	(NN,1) (NNP,1) (VBN,1) (week,1) (root,1) (rung,1) (dobj,1) (Lily,1) (dep,1) 
gargoyle/NN	(NN,1) (moved,1) (root,1) (VBD,1) (nsubj,1) (gargoyle,1) 
back/NN	(NN,1) (root,1) (gave,1) (VBD,1) (back,1) (dobj,1) 
What/WP	(NN,1) (root,1) (WP,1) (is,1) (coincidence,1) (What,1) (dep,2) (VBZ,1) 
as/RB	(JJ,1) (RB,1) (advmod,1) (as,1) (root,1) (annoyed,1) 
random/JJ	(JJ,2) (random,1) (NNS,1) (root,1) (have,1) (VB,1) (dobj,1) (amod,1) (people,1) (fun,1) (xcomp,1) 
same/JJ	(NN,1) (JJ,1) (took,1) (reason,1) (same,1) (root,1) (VBD,1) (nmod:for,1) (amod,1) 
her/PRP	(her,1) (root,1) (gave,1) (VBD,1) (PRP,1) (iobj,1) 
Big/NNP	(Big,1) (NNP,1) (ccomp,1) (smiles,1) (AND,1) (root,1) (nsubj,1) (VBZ,2) 
