very/RB	(JJ,1) (RB,1) (very,1) (advmod,1) (root,1) (brash,1) 
he/PRP	(stopped,1) (root,1) (VBD,1) (nsubj,1) (he,1) (PRP,1) 
later/RB	(NN,1) (carried,1) (acl:relcl,1) (RB,1) (took,1) (advmod,1) (later,1) (nmod:with,1) (root,1) (VBD,2) (quill,1) 
control/VB	(tried,1) (looked,1) (root,1) (VBD,2) (control,1) (conj:and,1) (VB,1) (xcomp,1) 
seem/VBP	(VBP,1) (root,1) (seem,1) 
notes/NNS	(took,1) (NNS,1) (notes,1) (root,1) (VBD,1) (dobj,1) 
sexy/JJ	(JJ,1) (sexy,1) (root,1) 
walk/NN	(NN,1) (NNP,1) (Hermione,1) (root,1) (go,1) (parataxis,1) (VB,1) (nmod:for,1) (walk,1) 
glasses/NNS	(glasses,1) (refill,1) (NNS,1) (went,1) (root,1) (VBD,1) (VB,1) (dobj,1) (xcomp,1) 
orchard/NN	(NN,1) (NNP,1) (Neville,1) (orchard,1) (nmod:into,1) (made,1) (root,1) (VBD,1) (parataxis,1) 
boy/NN	(NN,1) (named,1) (root,1) (VBD,1) (nsubj,1) (boy,1) 
Sweet/VB	(ccomp,1) (thought,1) (root,1) (VBD,1) (Sweet,1) (VB,1) 
normal/JJ	(NN,1) (JJ,1) (normal,1) (get,1) (root,1) (acl,1) (VB,2) (dobj,1) (xcomp,1) (order,1) (stay,1) 
potions/NNS	(NNS,1) (wanted,1) (VBP,1) (Hermione,1) (root,1) (potions,1) (administer,1) (VBD,1) (parataxis,1) (VB,1) (dobj,1) (xcomp,1) 
nothing/NN	(NN,1) (ccomp,1) (knew,1) (root,1) (nothing,1) (was,1) (VBD,2) (xcomp,1) 
made/VBD	(NNP,1) (Neville,1) (made,1) (root,1) (VBD,1) (parataxis,1) 
Weasley/NNP	(NNP,2) (Weasley,1) (Parvati,1) (root,1) (parataxis,1) 
sleep/VB	(sleep,1) (get,1) (root,1) (VB,2) (xcomp,1) 
curses/NNS	(nmod:from,1) (NNS,1) (VBN,1) (ccomp,1) (recover,1) (root,1) (curses,1) (insisted,1) (advcl,1) (VB,2) (return,1) 
get/VB	(get,1) (root,1) (VB,1) 
her/PRP$	(NN,1) (took,1) (PRP$,1) (nmod:poss,1) (her,1) (nmod:with,1) (root,1) (VBD,1) (quill,1) 
Then/RB	(RB,1) (advmod,1) (looked,1) (root,1) (VBD,1) (Then,1) 
But/CC	(But,1) (CC,1) (cc,1) (thought,1) (root,1) (VBD,1) 
afraid/JJ	(JJ,1) (afraid,1) (root,1) 
recover/VB	(VBN,1) (ccomp,1) (recover,1) (root,1) (insisted,1) (advcl,1) (VB,2) (return,1) 
walked/VBD	(JJ,1) (NNP,1) (walked,1) (Hermione,1) (root,1) (VBD,1) (insane,1) (parataxis,2) 
promise/VBP	(JJ,1) (fine,1) (VBP,1) (root,1) (promise,1) (conj:and,1) 
Hey/JJ	(JJ,1) (NNP,1) (NNS,1) (Neville,1) (made,1) (root,1) (guys,1) (VBD,1) (parataxis,1) (nsubj,1) (amod,1) (Hey,1) 
rather/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (thought,1) (rather,1) (root,1) (VBD,1) (sweet,1) 
healer/NN	(NN,2) (healer,1) (went,1) (nmod:poss,1) (nmod:into,1) (root,1) (VBD,1) (room,1) 
'd/MD	(JJ,1) (ccomp,1) (aux,1) (afraid,1) (root,1) (MD,1) (run,1) (VB,1) ('d,1) 
run/VB	(JJ,1) (ccomp,1) (afraid,1) (root,1) (run,1) (VB,1) 
neck/NN	(NN,1) (rubbed,1) (root,1) (VBD,1) (neck,1) (dobj,1) 
Oh/JJ	(NN,1) (JJ,1) (NNP,1) (Hermione,1) (root,1) (Oh,1) (nobody,1) (amod,1) (dep,1) 
Yeah/NNP	(NNP,1) (root,1) (Yeah,1) 
read/VB	(RB,1) (NN,1) (JJ,1) (read,1) (root,1) (parataxis,1) (So,1) (evening,1) (amod,1) (VB,1) (nice,1) (xcomp,1) 
old/JJ	(JJ,1) (old,1) (root,1) 
startled/VBD	(startled,1) (root,1) (VBD,1) 
as/IN	(as,1) (went,1) (IN,1) (root,1) (VBD,1) (mark,1) 
