was/VBD	(root,1) (was,1) (VBD,1) 
down/RP	(compound:prt,1) (root,1) (go,1) (VB,1) (down,1) (RP,1) 
Pigeon/NNP	(NNP,1) (root,1) (VBD,1) (said,1) (dobj,1) (Pigeon,1) 
like/JJ	(JJ,1) (see,1) (ccomp,1) (like,2) (root,1) (VB,2) (xcomp,1) 
tails/NNS	(NNS,1) (tails,1) (VBP,1) (root,1) (HAVE,1) (dobj,1) 
tarts/NNS	(NNS,1) (tarts,1) (made,1) (root,1) (VBD,1) (dobj,1) 
pool/NN	(NN,1) (VBN,1) (nmod:in,1) (IN,1) (root,1) (about,1) (pool,1) (nmod:to,1) (used,1) (it,1) (case,1) (PRP,1) 
Not/VB	(Not,1) (root,1) (VB,1) 
cat/NN	(NN,1) (replied,1) (root,1) (cat,1) (VBD,1) (parataxis,1) 
usual/JJ	(JJ,1) (went,1) (usual,1) (root,1) (VBD,1) (advcl,1) 
fumbled/VBD	(watched,1) (ccomp,1) (root,1) (fumbled,1) (VBD,3) (advcl,1) (said,1) 
not/RB	(RB,1) (neg,1) (not,1) (VBN,1) (root,1) (used,1) 
choked/VBD	(acl:relcl,1) (Turtle,1) (NNP,1) (root,1) (VBD,1) (choked,1) 
AND/CC	(CC,1) (cc,1) (NNP,1) (BOOTS,1) (root,1) (AND,1) (DOES,1) (dobj,1) (VBZ,1) 
go/VB	(root,1) (go,1) (VB,1) 
then/RB	(RB,1) (advmod,1) (added,1) (root,1) (VBD,1) (then,1) 
occasional/JJ	(NN,2) (broken,1) (JJ,1) (VBN,2) (nmod:by,1) (exclamation,1) (occasional,1) (acl,1) (amod,1) (followed,1) (root,1) (silence,1) (nmod:agent,1) 
sure/JJ	(JJ,1) (sure,1) (root,1) 
pig/NN	(NN,1) (ccomp,1) (turned,1) (nmod:into,1) (root,1) (VBD,2) (said,1) (pig,1) 
Cat/NNP	(NN,1) (NNP,1) (root,1) (Cat,1) (friend,1) (dep,1) 
tell/VBP	(VBP,1) (tell,1) (root,1) 
THAT/VBP	(THAT,1) (ccomp,1) (thought,1) (VBP,1) (root,1) (VBD,1) 
violent/JJ	(NN,1) (JJ,1) (violent,1) (ccomp,1) (shake,1) (began,1) (root,1) (VBD,1) (VBG,1) (giving,1) (dobj,1) (amod,1) 
here/RB	(here,1) (RB,1) (advmod,1) (VBP,1) (root,1) (fetch,1) (VBD,1) (said,1) (dep,1) 
